party,district,member,counties,link
R,87.0,Destin Hall,Caldwell,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=719
D,11.0,Duane Hall,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=679
R,91.0,Kyle Hall,"Rockingham, Stokes",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=704
D,29.0,Larry D. Hall [ Resigned 01/16/2017 ],Durham,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=572
D,72.0,"Edward Hanes, Jr.",Forsyth,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=674
R,59.0,Jon Hardister,Guilford,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=645
D,57.0,Pricey Harrison,Guilford,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=504
R,110.0,Kelly E. Hastings,"Cleveland, Gaston",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=618
R,113.0,Cody Henson,"Henderson, Polk, Transylvania",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=720
D,38.0,Yvonne Lewis Holley,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=650
R,68.0,D. Craig Horn,Union,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=604
R,79.0,Julia C. Howard,"Davie, Forsyth",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=53
D,5.0,"Howard J. Hunter, III","Bertie, Gates, Hertford, Pasquotank",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=692
R,70.0,Pat B. Hurley,Randolph,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=560
R,17.0,Frank Iler,Brunswick,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=598
D,56.0,Verla Insko,Orange,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=46
D,39.0,Darren G. Jackson,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=595
D,40.0,Joe John,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=722
R,83.0,Linda P. Johnson,Cabarrus,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=292
R,65.0,Bert Jones,"Caswell, Rockingham",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=620
R,46.0,Brenden H. Jones,"Bladen, Columbus, Robeson",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=723
R,93.0,Jonathan C. Jordan,"Ashe, Watauga",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=621
R,75.0,Donny Lambeth,Forsyth,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=646
D,30.0,Philip A. Lehman,Durham,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=729
R,53.0,David R. Lewis,Harnett,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=389
D,42.0,Marvin W. Lucas,Cumberland,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=216
R,35.0,Chris Malone,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=648
D,34.0,Grier Martin,Wake,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=487
R,8.0,Susan Martin,"Pitt, Wilson",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=667
R,13.0,Pat McElraft,"Carteret, Jones",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=570
R,117.0,Chuck McGrady,Henderson,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=605
R,78.0,Allen McNeill,"Moore, Randolph",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=635
D,50.0,Graig R. Meyer,"Durham, Orange",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=683
D,31.0,"Henry M. Michaux, Jr.",Durham,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=71
R,16.0,Chris Millis,"Onslow, Pender",http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=639
D,99.0,Rodney W. Moore,Mecklenburg,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=624
R,111.0,Tim Moore,Cleveland,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=339
R,9.0,"Gregory F. Murphy, MD",Pitt,http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=703
